index,raw_X,local_X,Z,C_unwrapped,pass_id
58568,204.6491,7.649100000000004,-2.6971,-271104.6034,2
58648,204.4813,7.4813000000000045,-2.6973,-272314.6337,2
58728,204.3096,7.309599999999989,-2.6975,-273552.4331,2
58808,204.1338,7.133800000000008,-2.6977,-274820.0058,2
58888,203.9535,6.953499999999991,-2.698,-276119.6091,2
58968,203.7684,6.768400000000014,-2.6982,-277453.8011,2
59048,203.5782,6.57820000000001,-2.6984,-278825.4997,2
59128,203.3822,6.382200000000012,-2.6986,-280238.0575,2
59208,203.1801,6.18010000000001,-2.6989,-281695.3583,2
59288,202.9711,5.971100000000007,-2.6991,-283201.9435,2
59368,202.7546,5.754600000000011,-2.6994,-284763.1787,2
59448,202.5295,5.529500000000013,-2.6996,-286385.48,2
59528,202.295,5.2949999999999875,-2.6999,-288076.6267,2
59608,202.0495,5.049499999999995,-2.7002,-289846.2048,2
59688,201.7915,4.791500000000013,-2.6988,-291706.2553,2
59768,201.5188,4.518799999999999,-2.699,-293672.2564,2
59848,201.2286,4.2286,-2.6991,-295764.6775,2
59928,200.9169,3.9168999999999983,-2.6993,-298011.5722,2
60008,200.5782,3.5782000000000096,-2.6994,-300453.2138,2
60088,200.204,3.2040000000000077,-2.6995,-303151.1668,2
60168,199.7799,2.779899999999998,-2.6997,-306208.4432,2
60248,199.2785,2.278500000000008,-2.6998,-309823.8361,2
60328,198.63,1.6299999999999955,-2.6999,-314499.0143,2
60408,197.374,0.3739999999999952,-2.7001,-320673.5973,2
